NU_ANO_CENSO;NO_REGIAO;CO_REGIAO;NO_UF;SG_UF;CO_UF;NO_MUNICIPIO;CO_MUNICIPIO;NO_REGIAO_GEOG_INTERM;CO_REGIAO_GEOG_INTERM;NO_REGIAO_GEOG_IMED;CO_REGIAO_GEOG_IMED;NO_DISTRITO;CO_DISTRITO;NO_SUBDISTRITO;CO_SUBDISTRITO;NO_ENTIDADE;CO_ENTIDADE;CO_REDE;TP_DEPENDENCIA;TP_CATEGORIA_ESCOLA_PRIVADA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;IN_PODER_PUBLICO_PARCERIA;TP_PODER_PUBLICO_PARCERIA;QT_TUR_BAS;QT_TUR_INF;QT_TUR_INF_CRE;QT_TUR_INF_PRE;QT_TUR_FUND;QT_TUR_FUND_AI;QT_TUR_FUND_AI_1;QT_TUR_FUND_AI_2;QT_TUR_FUND_AI_3;QT_TUR_FUND_AI_4;QT_TUR_FUND_AI_5;QT_TUR_FUND_AI_MULTIETAPA;QT_TUR_FUND_AF;QT_TUR_FUND_AF_6;QT_TUR_FUND_AF_7;QT_TUR_FUND_AF_8;QT_TUR_FUND_AF_9;QT_TUR_FUND_AF_MULTI;QT_TUR_FUND_AF_CORRFLUXO;QT_TUR_MED;QT_TUR_MED_1;QT_TUR_MED_2;QT_TUR_MED_3;QT_TUR_MED_4;QT_TUR_MED_NS;QT_TUR_MED_PROP;QT_TUR_MED_PROP_1;QT_TUR_MED_PROP_2;QT_TUR_MED_PROP_3;QT_TUR_MED_PROP_4;QT_TUR_MED_PROP_NS;QT_TUR_MED_IFTP_CT;QT_TUR_MED_IFTP_CT_1;QT_TUR_MED_IFTP_CT_2;QT_TUR_MED_IFTP_CT_3;QT_TUR_MED_IFTP_CT_4;QT_TUR_MED_IFTP_CT_NS;QT_TUR_MED_IFTP_QP;QT_TUR_MED_IFTP_QP_1;QT_TUR_MED_IFTP_QP_2;QT_TUR_MED_IFTP_QP_3;QT_TUR_MED_IFTP_QP_4;QT_TUR_MED_IFTP_QP_NS;QT_TUR_MED_NM;QT_TUR_MED_NM_1;QT_TUR_MED_NM_2;QT_TUR_MED_NM_3;QT_TUR_MED_NM_4;QT_TUR_MED_IFA_EXC;QT_TUR_MED_IFTP_EXC;QT_TUR_MED_IFTP_EXC_QP;QT_TUR_MED_IFA;QT_TUR_MED_IFA_LING;QT_TUR_MED_IFA_MATE;QT_TUR_MED_IFA_CIENC;QT_TUR_MED_IFA_HUMA;QT_TUR_PROF;QT_TUR_PROF_TEC;QT_TUR_PROF_TEC_CONC;QT_TUR_PROF_TEC_SUBS;QT_TUR_PROF_TEC_MISTO;QT_TUR_PROF_TEC_IFTP_CT;QT_TUR_PROF_NAO_TEC;QT_TUR_PROF_IFTP_QP;QT_TUR_PROF_FIC_CONC;QT_TUR_EJA;QT_TUR_EJA_FUND;QT_TUR_EJA_FUND_NPROF;QT_TUR_EJA_FUND_AI;QT_TUR_EJA_FUND_AF;QT_TUR_EJA_FUND_FIC;QT_TUR_EJA_MED;QT_TUR_EJA_MED_NPROF;QT_TUR_EJA_MED_FIC;QT_TUR_EJA_MED_TEC;QT_TUR_ESP;QT_TUR_ESP_CC;QT_TUR_ESP_CE;QT_TUR_BAS_D;QT_TUR_BAS_DM;QT_TUR_BAS_DV;QT_TUR_BAS_N;QT_TUR_BAS_EAD;QT_TUR_INF_CRE_D;QT_TUR_INF_CRE_DM;QT_TUR_INF_CRE_DV;QT_TUR_INF_CRE_N;QT_TUR_INF_PRE_D;QT_TUR_INF_PRE_DM;QT_TUR_INF_PRE_DV;QT_TUR_INF_PRE_N;QT_TUR_FUND_D;QT_TUR_FUND_DM;QT_TUR_FUND_DV;QT_TUR_FUND_N;QT_TUR_FUND_AI_D;QT_TUR_FUND_AI_DM;QT_TUR_FUND_AI_DV;QT_TUR_FUND_AI_N;QT_TUR_FUND_AF_D;QT_TUR_FUND_AF_DM;QT_TUR_FUND_AF_DV;QT_TUR_FUND_AF_N;QT_TUR_MED_D;QT_TUR_MED_DM;QT_TUR_MED_DV;QT_TUR_MED_N;QT_TUR_MED_EAD;QT_TUR_PROF_D;QT_TUR_PROF_DM;QT_TUR_PROF_DV;QT_TUR_PROF_N;QT_TUR_PROF_EAD;QT_TUR_PROF_TEC_D;QT_TUR_PROF_TEC_DM;QT_TUR_PROF_TEC_DV;QT_TUR_PROF_TEC_N;QT_TUR_PROF_TEC_EAD;QT_TUR_EJA_D;QT_TUR_EJA_DM;QT_TUR_EJA_DV;QT_TUR_EJA_N;QT_TUR_EJA_EAD;QT_TUR_EJA_FUND_D;QT_TUR_EJA_FUND_DM;QT_TUR_EJA_FUND_DV;QT_TUR_EJA_FUND_N;QT_TUR_EJA_FUND_EAD;QT_TUR_EJA_MED_D;QT_TUR_EJA_MED_DM;QT_TUR_EJA_MED_DV;QT_TUR_EJA_MED_N;QT_TUR_EJA_MED_EAD;QT_TUR_ESP_D;QT_TUR_ESP_DM;QT_TUR_ESP_DV;QT_TUR_ESP_N;QT_TUR_ESP_EAD;QT_TUR_ESP_CC_D;QT_TUR_ESP_CC_DM;QT_TUR_ESP_CC_DV;QT_TUR_ESP_CC_N;QT_TUR_ESP_CC_EAD;QT_TUR_ESP_CE_D;QT_TUR_ESP_CE_DM;QT_TUR_ESP_CE_DV;QT_TUR_ESP_CE_N;QT_TUR_ESP_CE_EAD;QT_TUR_BAS_INT;QT_TUR_INF_INT;QT_TUR_INF_CRE_INT;QT_TUR_INF_PRE_INT;QT_TUR_FUND_INT;QT_TUR_FUND_AI_INT;QT_TUR_FUND_AF_INT;QT_TUR_MED_INT;QT_TUR_PROF_INT;QT_TUR_PROF_TEC_INT;QT_TUR_EJA_INT;QT_TUR_EJA_FUND_INT;QT_TUR_EJA_MED_INT;QT_TUR_ESP_INT;QT_TUR_ESP_CC_INT;QT_TUR_ESP_CE_INT;QT_TUR_BAS_DISC_LINGUA_PORT;QT_TUR_BAS_DISC_EDUC_FISICA;QT_TUR_BAS_DISC_ARTES;QT_TUR_BAS_DISC_LINGUA_ING;QT_TUR_BAS_DISC_LINGUA_ESPA;QT_TUR_BAS_DISC_LINGUA_FRANC;QT_TUR_BAS_DISC_LINGUA_OUTRA;QT_TUR_BAS_DISC_LIBRAS;QT_TUR_BAS_DISC_LINGUA_INDIG;QT_TUR_BAS_DISC_PORT_SEG_LINGUA;QT_TUR_BAS_DISC_MATEMATICA;QT_TUR_BAS_DISC_CIENCIAS;QT_TUR_BAS_DISC_FISICA;QT_TUR_BAS_DISC_QUIMICA;QT_TUR_BAS_DISC_BIOLOGIA;QT_TUR_BAS_DISC_HISTORIA;QT_TUR_BAS_DISC_GEOGRAFIA;QT_TUR_BAS_DISC_SOCIOLOGIA;QT_TUR_BAS_DISC_FILOSOFIA;QT_TUR_BAS_DISC_EST_SOCIAIS;QT_TUR_BAS_DISC_EST_SOCIAIS_SOCI;QT_TUR_BAS_DISC_INFO_COMPUTACAO;QT_TUR_BAS_DISC_ENSINO_RELIGIOSO;QT_TUR_BAS_DISC_PROFISSIONA;QT_TUR_BAS_DISC_ESTAGIO_SUPER;QT_TUR_BAS_DISC_PEDAGOGICAS;QT_TUR_BAS_DISC_PROJETO_DE_VIDA;QT_TUR_BAS_DISC_OUTRAS;QT_TUR_BAS_LIBRAS
2025;Nordeste;2;Pernambuco;PE;26;Igarassu;2606804;Recife;2601;Recife;260001;Igarassu;260680405;;;ESCOLA JOSE JORGE DE FARIAS SALES;26105330;1;3;;1;0;0;;27;6;0;6;21;21;4;4;4;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;22;0;27;13;14;0;0;0;0;0;0;6;3;3;0;21;10;11;0;21;10;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;12;10;0;0;22;12;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;21;21;0;0;0;0;0;0;0;21;21;0;0;0;21;21;0;0;0;0;0;0;0;0;0;0;0;0
2025;Nordeste;2;Pernambuco;PE;26;Igarassu;2606804;Recife;2601;Recife;260001;Igarassu;260680405;;;ESCOLA JOSE MARTINS DO CARMO;26105349;1;3;;2;0;0;;11;3;0;3;7;7;1;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;9;9;0;10;5;5;1;0;0;0;0;0;3;1;2;0;7;4;3;0;7;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;8;4;4;1;0;8;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;8;0;0;0;0;0;0;0;8;8;0;0;0;8;8;0;0;0;0;0;0;0;0;0;0;0;0
2025;Nordeste;2;Pernambuco;PE;26;Igarassu;2606804;Recife;2601;Recife;260001;Igarassu;260680405;;;ESCOLA MARIA DA GLORIA ALVES DE LIMA;26105357;1;3;;2;0;0;;7;2;0;2;5;5;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;7;4;3;0;0;0;0;0;0;2;1;1;0;5;3;2;0;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;2;0;0;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;0;0;0;0;0;0;0;5;5;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0
2025;Nordeste;2;Pernambuco;PE;26;Igarassu;2606804;Recife;2601;Recife;260001;Igarassu;260680405;;;ESCOLA MARIA DJANIRA LACERDA LEITE;26105365;1;3;;2;0;0;;18;2;0;2;16;5;1;1;1;1;1;0;11;3;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;18;0;18;9;9;0;0;0;0;0;0;2;1;1;0;16;8;8;0;5;5;0;0;11;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;9;9;0;0;18;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;16;11;0;0;0;0;0;0;16;16;0;0;0;16;16;0;0;0;0;0;0;0;0;0;0;0;0
2025;Nordeste;2;Pernambuco;PE;26;Igarassu;2606804;Recife;2601;Recife;260001;Igarassu;260680405;;;ESCOLA MARIA JOSE DO AMARAL;26105373;1;3;;1;0;0;;6;1;0;1;5;5;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;6;3;3;0;0;0;0;0;0;1;0;1;0;5;3;2;0;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;3;0;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;0;0;0;0;0;0;0;5;5;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0
2025;Nordeste;2;Pernambuco;PE;26;Igarassu;2606804;Recife;2601;Recife;260001;Igarassu;260680405;;;ESCOLA VEREADOR JOSE FRANCISCO FERREIRA;26105381;1;3;;1;0;0;;13;3;0;3;8;8;1;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;11;11;0;11;5;6;2;0;0;0;0;0;3;2;1;0;8;3;5;0;8;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;9;4;5;2;0;9;4;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;2;0;0;0;0;0;0;10;10;0;0;0;10;10;0;0;0;0;0;0;0;0;0;0;0;0
2025;Nordeste;2;Pernambuco;PE;26;Igarassu;2606804;Recife;2601;Recife;260001;Igarassu;260680405;;;ESCOLA NOSSA SENHORA DA CONCEICAO;26105411;1;3;;1;0;0;;18;4;0;4;14;14;2;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;0;18;9;9;0;0;0;0;0;0;4;2;2;0;14;7;7;0;14;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;8;7;0;0;15;8;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;14;14;0;0;0;0;0;0;0;14;14;0;0;0;14;14;0;0;0;0;0;0;0;0;0;0;0;0
2025;Nordeste;2;Pernambuco;PE;26;Igarassu;2606804;Recife;2601;Recife;260001;Igarassu;260680405;;;ESCOLA VIRGINIA BORBA PESSOA GUERRA;26105420;1;3;;2;0;0;;3;1;0;1;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;3;0;0;0;0;0;0;0;1;1;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;3;1;0;1;2;0;2;0;0;0;0;0;0;1;1;0;2;2;2;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
2025;Nordeste;2;Pernambuco;PE;26;Igarassu;2606804;Recife;2601;Recife;260001;Igarassu;260680405;;;ESCOLA PROFESSOR JOSE ERONIDES;26105470;1;3;;2;0;0;;14;2;0;2;12;5;1;1;1;1;1;0;7;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;0;14;7;7;0;0;0;0;0;0;2;2;0;0;12;5;7;0;5;5;0;0;7;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;6;6;0;0;12;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;12;7;0;0;0;0;0;0;12;12;0;0;0;12;12;0;0;0;0;0;0;0;0;0;0;0;0
2025;Nordeste;2;Pernambuco;PE;26;Igarassu;2606804;Recife;2601;Recife;260001;Igarassu;260680405;;;CENTRO DE EDUCACAO INTEGRAL CECILIA MARIA VAZ CURADO RIBEIRO;26105489;1;3;;1;0;0;;11;0;0;0;11;0;0;0;0;0;0;0;11;3;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;0;11;11;0;0;0;0;0;0;0;0;0;0;0;11;11;0;0;0;0;0;0;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;0;0;0;9;9;0;0;0;0;0;0;0;0;11;0;0;0;11;0;11;0;0;0;0;0;0;9;9;0;11;11;11;11;0;0;0;0;0;0;11;11;0;0;0;11;11;0;0;0;0;11;0;0;0;0;0;11;0
2025;Nordeste;2;Pernambuco;PE;26;Igarassu;2606804;Recife;2601;Recife;260001;Igarassu;260680405;;;CENTRO DE EDUCACAO INTEGRAL SAO LUIZ;26105527;1;3;;2;0;0;;6;0;0;0;6;0;0;0;0;0;0;0;6;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;6;6;0;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;4;4;0;0;0;0;0;0;0;0;6;0;0;0;6;0;6;0;0;0;0;0;0;4;4;0;6;6;6;6;0;0;0;0;0;0;6;6;0;0;0;6;6;0;0;0;0;6;0;0;0;0;0;6;0
2025;Nordeste;2;Pernambuco;PE;26;Igarassu;2606804;Recife;2601;Recife;260001;Igarassu;260680405;;;ESCOLA SENADOR JOSE ERMIRIO DE MORAES;26105535;1;3;;1;0;0;;12;2;0;2;10;5;1;1;1;1;1;0;5;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;12;6;6;0;0;0;0;0;0;2;1;1;0;10;5;5;0;5;5;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;5;5;0;0;10;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;5;0;0;0;0;0;0;10;10;0;0;0;10;10;0;0;0;0;0;0;0;0;0;0;0;0
2025;Nordeste;2;Pernambuco;PE;26;Igarassu;2606804;Recife;2601;Recife;260001;Igarassu;260680405;;;ESCOLA ULISSES PERNAMBUCANO;26105551;1;3;;2;0;0;;4;1;0;1;3;1;1;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;4;4;0;0;0;0;0;0;0;1;1;0;0;3;3;0;0;1;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;4;4;0;0;0;0;0;0;0;0;4;1;0;1;3;1;2;0;0;0;0;0;0;4;4;0;3;3;3;0;0;0;0;0;0;0;3;3;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0
2025;Nordeste;2;Pernambuco;PE;26;Igarassu;2606804;Recife;2601;Recife;260001;Igarassu;260680405;;;ESCOLA JOAO LEITE NOGUEIRA PAZ;26105560;1;3;;1;0;0;;15;4;0;4;11;11;2;2;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;13;0;15;7;8;0;0;0;0;0;0;4;2;2;0;11;5;6;0;11;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;6;7;0;0;13;6;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;11;0;0;0;0;0;0;0;11;11;0;0;0;11;11;0;0;0;0;0;0;0;0;0;0;0;0
2025;Nordeste;2;Pernambuco;PE;26;Igarassu;2606804;Recife;2601;Recife;260001;Igarassu;260680405;;;ESCOLA NELSON DE OLIVEIRA GALVAO;26105578;1;3;;1;0;0;;7;2;0;2;5;5;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;0;7;4;3;0;0;0;0;0;0;2;1;1;0;5;3;2;0;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;4;3;0;0;7;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;0;0;0;0;0;0;0;5;5;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0
2025;Nordeste;2;Pernambuco;PE;26;Igarassu;2606804;Recife;2601;Recife;260001;Igarassu;260680405;;;ESCOLA SOLDADO MARIANO MARCOS GONCALVES CAVALCANTI;26105586;1;3;;1;0;0;;18;6;0;6;12;12;3;3;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;0;18;9;9;0;0;0;0;0;0;6;3;3;0;12;6;6;0;12;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;9;7;0;0;16;9;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;12;0;0;0;0;0;0;0;12;12;0;0;0;12;12;0;0;0;0;0;0;0;0;0;0;0;0
2025;Nordeste;2;Pernambuco;PE;26;Igarassu;2606804;Recife;2601;Recife;260001;Igarassu;260680405;;;ESCOLA ECILDA RAMOS DE SOUZA;26105624;1;3;;1;0;0;;11;0;0;0;11;0;0;0;0;0;0;0;11;3;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;11;6;5;0;0;0;0;0;0;0;0;0;0;11;6;5;0;0;0;0;0;11;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;4;0;0;10;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;11;11;0;0;0;0;0;0;11;11;0;0;0;11;11;0;0;0;0;0;0;0;0;0;0;0;0
2025;Nordeste;2;Pernambuco;PE;26;Igarassu;2606804;Recife;2601;Recife;260001;Igarassu;260680405;;;ESCOLA PASTOR ISAIAS RAFAEL DE ALENCAR;26105721;1;3;;1;0;0;;14;0;0;0;14;0;0;0;0;0;0;0;14;4;3;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;13;0;14;7;7;0;0;0;0;0;0;0;0;0;0;14;7;7;0;0;0;0;0;14;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;7;6;0;0;13;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;14;14;14;0;0;0;0;0;0;14;14;0;0;0;14;14;0;0;0;0;0;0;0;0;0;0;0;0
2025;Nordeste;2;Pernambuco;PE;26;Igarassu;2606804;Recife;2601;Recife;260001;Igarassu;260680405;;;ESCOLA SAO MARCOS;26105764;1;3;;2;0;0;;9;2;0;2;6;6;1;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;7;7;0;8;4;4;1;0;0;0;0;0;2;1;1;0;6;3;3;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;6;2;4;1;0;6;2;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;6;0;0;0;0;0;0;0;7;7;0;0;0;7;7;0;0;0;0;0;0;0;0;0;0;0;0
2025;Nordeste;2;Pernambuco;PE;26;Igarassu;2606804;Recife;2601;Recife;260001;Igarassu;260680405;;;ESCOLA FLAVIO PESSOA GUERRA;26105780;1;3;;1;0;0;;7;2;0;2;5;5;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;0;7;4;3;0;0;0;0;0;0;2;1;1;0;5;3;2;0;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;4;3;0;0;7;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;0;0;0;0;0;0;0;5;5;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0
2025;Nordeste;2;Pernambuco;PE;26;Igarassu;2606804;Recife;2601;Recife;260001;Igarassu;260680405;;;ESCOLA ANA CALDAS BRANDAO;26105861;1;3;;2;0;0;;5;1;0;1;3;1;0;0;0;0;1;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;4;4;0;4;2;2;1;0;0;0;0;0;1;1;0;0;3;1;2;0;1;0;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;4;2;2;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;0;0;0;0;0;0;0;4;4;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0
